id_producto;nombre_producto;vista_producto;predesc_producto;desc_producto;id_categoria;stock_producto;precio_producto;img_producto
11;SRS-XG500;Altavoz XG500 serie X;Altavoz inalámbrico portátil XG500 de la serie X;El SRS-XG500 es perfecto para llevar un sonido potente al aire libre. La combinación de X-Balanced Speaker Unit, tweeter de alta eficiencia y radiadores pasivos ofrece un sonido nítido y claro tanto si escuchas en interiores como al aire libre. Además...;2;12;25999;https://i.imgur.com/94Z8oFx.png
12;SRS-XP700;Altavoz XP700 serie X;Altavoz inalámbrico portátil XP700 de la serie X;El XP700 está diseñado para ofrecer un sonido envolvente. Con el sonido de fiesta omnidireccional que ofrece X-Balanced Speaker Unit y los tweeters frontal y posterior de alta eficiencia, emite un sonido detallado y nítido en todas direcciones. Es per...;2;3;70999;https://i.imgur.com/9XuaGoD.png
13;CAS-1B;Amplificador CAS-1B;Sistema de audio de alta resolución con amplificador para jack 3.5;El sistema de audio CAS-1 cuenta con amplificadores dobles y altavoces independientes que recrean de forma precisa los espacios sonoros originales para una experiencia envolvente de audio de alta resolución a través de los altavoces o auriculares. Tamb...;3;5;88999;https://i.imgur.com/ZjLgO6j.png
14;SA-CS9;Subwoofer SA-CS9;Subwoofer con amplificador integrado con 115W de potencia;Disfruta de unos graves profundos con este potente subwoofer activo. El diafragma de cono de 250 mm puede mover un mayor volumen de aire, produciendo una potente resonancia que hace que los graves suenen auténticos. El subwoofer refuerza los sonidos de ...;3;7;18999;https://i.imgur.com/4IHX37T.png
15;WF-SP900;Auriculares WF-SP900;Auriculares inalámbricos WF-SP900 con almacenamiento de 4GB;Gracias a la certificación IPX5/8 de resistencia al agua, los auriculares WF-SP900 pueden utilizarse tanto en agua dulce como salada y sumergirse hasta 2 metros. El modo sonido ambiente te permite mantenerte atento mientras te mueves. Al mezclar música...;4;10;17999;https://i.imgur.com/5Tzx1vr.png
16;WH-1000XM4;Auriculares WH-1000XM4;Auriculares inalámbricos con XM4 noise cancelling y EXTRA BASS™;Para maximizar el rendimiento de noise cancelling, los WH-1000XM4 incorporan dos tecnologías: el optimizador de Noise Cancelling personal, diseñado a tu medida, y la optimización de la presión atmosférica, diseñada expresamente para los viajes.;4;9;42999;https://i.imgur.com/xMsIVOg.png
17;WH-CH710N;Auriculares WH-CH710N;Auriculares inalámbricos con Noise Cancelling WH-CH710N;Los auriculares inalámbricos con Noise Cancelling WH-CH710N te permiten disfrutar de una experiencia de escucha potente y sin distracciones. Gracias a la función Noise Cancelling con tecnología de sensor de ruido dual y al modo sonido ambiente, tendr...;4;11;30999;https://i.imgur.com/N6QiXV9.png
18;WH-H910N;Auriculares WH-910N;Auriculares con Noise Cancelling h.ear on 3 Wireless WH-H910N;Gracias a una fina carcasa y una diadema de silicona que se adapta mejor a la cabeza, podrás llevarlos puestos todo el día. Las suaves almohadillas acolchadas ofrecen un ajuste cómodo y estable. Los dos micrófonos con Noise Cancelling, uno de aliment...;4;8;22999;https://i.imgur.com/R30ZBX8.png
19;WI-1000XM2;Auriculares WI-1000XM2;Auriculares internos inalámbricos con Noise Cancelling WI-1000XM2;La tecnología Noise Cancelling de los auriculares WI-1000XM2 es la más avanzada de la historia en unos auriculares inalámbricos con sujeción por detrás del cuello gracias a la potencia de nuestro procesador de Noise Cancelling HD QN1. Sumérgete por...;4;8;14999;https://i.imgur.com/JVj9vEc.png
20;WF-1000XM3;Auriculares WF-1000XM3;Auriculares inalámbricos con Noise Cancelling WF-1000XM3;La tecnología Noise Cancelling integrada en los auriculares WF-1000XM3 es la más avanzada de la historia en unos auriculares totalmente inalámbricos con nuestro procesador de Noise Cancelling HD QN1e. Sumérgete por completo en tu música.;4;5;18999;https://i.imgur.com/JTbdXuc.png
21;WF-L900;Auriculares WF-L900;LinkBuds con diseño de anillo abierto y resistencia al agua IPX4;Estos pequeños se conectan con tu vida diaria. Llévalos todo el día cómodamente sin dejar de oír lo que te rodea, sin notar nada en la oreja y sin tener que pausar tu música para oir a la gente y a tu entorno. Los LinkBuds tienden un puente entre t...;4;7;14999;https://i.imgur.com/1rpvw0e.png
22;ILCE-7M4 - ILCE-7M4K;Cámara híbrida Alpha 7 IV;Cámara híbrida de fotograma completo Alpha 7 IV;Sensor de imagen CMOS Exmor R retroiluminado de fotograma completo de 33,0 MP de reciente desarrollo. Procesador de imágenes BIONZ XR avanzado con un rendimiento 8 veces superior. Creación de vídeos con capacidad de grabación en 4:2:2 de 10 bits en 4...;5;5;362194;https://i.imgur.com/KgmsdbE.png
23;ILME-FX3;Cámara Cinema Line FX3;Cámara Cinema Line FX3 de fotograma completo;El panel táctil LCD tipo 3.0 (1,44 millones de puntos) tiene un diseño abierto en el lateral para lograr más flexibilidad y visibilidad al montar la cámara en cardanes o soportes. Rendimiento de fotograma completo con alta sensibilidad y un rango din...;5;2;607719;https://i.imgur.com/VPgvr2o.png
24;ZV-E10;Cámara videoblogs Z;Cámara para videoblogs con objetivo intercambiable;Eye AF en tiempo real para animales ya mediante actualización de software. Sensor CMOS Exmor™ APS-C de gran tamaño y 24,2 MP. Micrófono direccional de 3 cápsulas con paraviento. Funciones para videoblogueros: ajuste de presentación de productos, b...;5;5;109999;https://i.imgur.com/wVxE6C1.png
25;ILCE-1;Cámara Alpha 1 α1;Alpha 1 con una resolución y velocidad superiores;La α1 ofrece nuevas cotas de rendimiento de imagen y eficiencia en flujos de trabajo, para una nueva libertad creativa. Sensor CMOS apilado de fotograma completo de 35 mm y de 50,1 MP con memoria integrada. El motor BIONZ XR avanzado aumenta la velocida...;5;1;905271;https://i.imgur.com/IsZoL3r.png
26;ILCA-99M2;Cámara Alpha 99 II;Alpha 99 II con sensor de imagen de fotograma completo retroiluminado;Alpha 99 II lleva el enfoque automático al siguiente nivel en materia de alta precisión y rapidez, y una sorprendente resolución: el mejor rendimiento en montura tipo A. 79 puntos de AF reticulares híbridos rápidos, mejorados y efectivos. Disparo co...;5;3;465661;https://i.imgur.com/S88BlMC.png
27;BDV-E6100;Home Cinema BDV-E6100;Home Cinema con Blu-ray;La acción trepidante de una película, el rugir de la multitud en un partido o tus canciones favoritas: disfruta de todo con el sonido Surround dinámico. Con acceso con un solo toque a las canciones del smartphone Bluetooth® y NFC, podrás poner en ma...;6;4;70999;https://i.imgur.com/0h4A178.png
28;HT-S40R;Home Theatre HT-S40R;Home Theatre 600 W de auténtico sonido Surround 5.1;La HT-S40R te ofrece un sonido cinematográfico que inunda tu hogar con 600 W de auténtico sonido Surround 5.1 y parlantes posteriores inalámbricos que dan vida a cualquier película. Para disfrutar de una experiencia de audio excepcional, una combinac...;6;8;84999;https://i.imgur.com/2ObOJMW.png
29;BDV-N9200W - N9200WL;Home Cinema BDV-N9200W;Home Cinema con Blu-ray;Disfruta de la potencia de las salas de cine en tu salón con el BDV-N9200W. Vive tus películas preferidas con un nivel de detalle casi real gracias a la transmisión y conversión de señales 4K. Desde las explosiones hasta los susurros cobrarán vida ...;6;4;130999;https://i.imgur.com/EhLVEwQ.png
30;BDV-NF7220;Home Cinema BDV-NF7220;Home Cinema con Blu-ray;El salón se convierte en un cine: disfruta del sonido Surround 5.1 y del impresionante audio de alta resolución con los altavoces Magnetic Fluid. Transmite con Wi-Fi® integrado y duplica tu teléfono compatible con Miracast en el televisor. Al convert...;6;6;90999;https://i.imgur.com/Jo3b5Z9.png
31;SEL2470GM2;Objetivo SEL2470GM2;Objetivo FE 24-70mm F2.8 GMaster II;Objetivo zoom estándar G Master superior. Cuatro motores lineales XD (dinámico extremo) de alta potencia garantizan un rendimiento de AF extraordinario. 5 elementos asféricos, entre los que se incluyen 2 de tipo XA, 2 elementos de cristal ED y 2 Super...;7;4;309290;https://i.imgur.com/rfT676X.png
32;SELP1635G;Objetivo SELP1635G;Objetivo FE PZ 16-35mm F4 G;Objetivo G con zoom electrónico gran angular ultraligero y versátil. Dos elementos AA, un elemento asférico estándar y un elemento asférico ED para disfrutar de una alta resolución en toda el área de la imagen. Los dos motores lineales XD ofrecen ...;7;5;193315;https://i.imgur.com/ByaM6LI.png
33;SEL70200GM2;Objetivo SEL70200GM2;Objetivo FE 70-200mm F2.8 GMaster OSS II;Zoom telescópico superior de la serie G Master. Un elemento XA, dos cristales Super ED y tres ED para una resolución alta en todo el alcance del zoom. Los motores lineales XD ofrecen una excelente respuesta y baja vibración para contar con un AF rápi...;7;1;386703;https://i.imgur.com/Qhgj21R.png
34;SEL14F18GM;Objetivo SEL14F18GM;Objetivo FE 14mm F1.8 GMaster;Objetivo prime ultra gran angular superior G Master. Elementos XA y de cristal Super ED y dos cristales ED para una alta resolución en toda la imagen. Perspectivas ultra gran angular con gran apertura en un objetivo increíblemente compacto. Los motores...;7;3;206203;https://i.imgur.com/pheelj3.png
35;SEL24F28G;Objetivo SEL24F28G;Objetivo FE 24mm F2.8 GPrime;Objetivo G prime gran angular. Este objetivo reúne la imagen de alta calidad y el atractivo bokeh del objetivo G en un diseño compacto con gran calidad de construcción y funcionamiento intuitivo. Es fácil de transportar e ideal para fotos vistosas en...;7;4;89999;https://i.imgur.com/nbht9Fg.png
36;CFI-1102A;PS5® CFI-1102A;PlayStation 5 PS5 Blu-ray Edition Console (AUS Plug) CFI-1002A / CFI-1102A;Aprovecha la potencia de una SSD con E/S integradas, una CPU y GPU personalizadas que reinventan las reglas de lo que una consola PlayStation es capaz de hacer. Ray tracing aporta nuevos niveles de realismo con reflejos y sombras naturales a los juegos d...;8;10;91999;https://i.imgur.com/DBYXjLy.png
37;CFI-ZCT1W;DualSense™ CFI-ZCT1W;Mando inalámbrico DualSense™ PlayStation 5;El mando inalámbrico DualSense mantiene muchas características del DUALSHOCK®4, que vuelven para una nueva generación de juegos. Éste ofrece una inmersiva retroalimentación háptica, gatillos adaptativos dinámicos y un micrófono integrado, todo e...;8;8;14999;https://i.imgur.com/fo1vG8c.png
38;CFI-ZWH1;Pulse 3D CFI-ZWH1;Auriculares inalámbricos PULSE 3D™ PlayStation 5;Los auriculares inalámbricos PULSE 3D se han diseñado específicamente para ofrecer el audio 3D que la PlayStation®5 ha hecho posible. Con la tecnología de audio 3D Tempest, la consola PS5 te sumerge en paisajes sonoros increíbles que te permitirán...;8;6;24999;https://i.imgur.com/JTwIbOG.png
39;CFI-ZEY1;Cámara HD CFI-ZEY1;Cámara HD PS VR PlayStation 5;Con lentes duales de 1080p y un soporte integrado, la cámara HD funciona a la perfección con las herramientas de eliminación del fondo de la PS5 para convertirte en el centro de atención. Crea una grabación o transmisión de tu partida rápidamente ...;8;3;8999;https://i.imgur.com/4FFi8MO.png
40;CUH-ZVR1;Casco VR CUH-ZVR1;Casco PS VR Inmersivo PlayStation 5;Conviértete en el centro de extraordinarios universos de juego con juegos exclusivos de PS VR gracias a la potencia de tu consola PlayStation®. Visión de 360 grados!, observa cómo un mundo interactivo cobra vida a tu alrededor con un campo de visión...;8;1;41999;https://i.imgur.com/j1szYiH.png
41;NW-WM1ZM2;Walkman NW-WM1ZM2;The new Walkman® WM1ZM2 Signature Series;Fabricados con un material único de espuma de poliuretano desarrollado por Sony. Suaves y elásticos, mejoran la adhesión a la pared del canal auditivo y minimizan los huecos en la superficie de contacto. Mejoran el aislamiento acústico y eliminan má...;9;3;609999;https://i.imgur.com/HT2jJbL.png
42;WM1AM2;Walkman WM1AM2;The strong Walkman® digital multimedia player WM1AM2;Reproducción de sonido fidedign. La tecnología de amplificación digital S-Master™ HX de Walkman® es compatible con el formato DSD nativo y admite una salida equilibrada y de alta potencia. Reduce la distorsión y el ruido en varias frecuencias para...;9;3;569999;https://i.imgur.com/vo8yqC2.png
43;NW-ZX300;Walkman NW-ZX300;Walkman® digital multimedia player ZX300 de la serie ZX;Calidad superior con DSD nativo de 11,2 MHz usando auriculares equilibrados y compatibilidad con PCM de 384 KHz/32 bits. El amplificador digital S-Master HX™ reduce la distorsión y el ruido en un amplio rango de frecuencias para que experimentes un so...;9;3;529999;https://i.imgur.com/tSxOE9P.png
;;;;;;;;
